PERCENTAGE_CHANGE: 79.10042652190772
NAME : a280
COMMENT : 
TYPE : TSP
DIMENSION : 40
LENGTH : 539
OPTIMAL_LENGTH : 2579
EDGE_WEIGHT_TYPE : EUC_2D
EXECUTION_TIME_SECONDS : 0.5145900249481201
1 96.66979932130747 83.5729531860062
2 98.0938863187805 60.081609221591314
3 95.11213696125735 50.63255292570502
4 83.33332507241334 50.83099649576006
5 92.57956703978148 39.13264808925893
6 92.276479905464 17.905510581496976
7 92.10936426022346 8.835370272900134
8 87.9856856532821 11.820124030023072
9 83.53001759471462 20.22482262847841
10 78.85348774867526 28.730518478934584
11 63.69222423714195 36.22958940337371
12 54.8891947279578 18.748127314065865
13 45.03505869672711 30.391230534076552
14 39.898147621590965 24.00382065040898
15 40.81707283582108 17.090505070678642
16 44.990485125362945 11.892465400250474
17 40.768702808028614 5.536604011186008
18 31.815548111578817 14.499034716650117
19 19.449838173029576 6.964475381882396
20 4.860097468345659 25.65998959331838
21 17.42026705579186 44.91470796888313
22 13.234514122696705 50.998058208146766
23 1.4574549491022437 54.19848909580954
24 3.665485277358338 56.85447571589641
25 3.106401861008723 58.282530683876274
26 1.2082138563782263 74.57427834469699
27 2.753468032253259 90.42672172317279
28 7.744940859494309 89.5140604659645
29 34.07441486260292 45.69195011910886
30 52.63995242971454 62.381221288468666
31 46.82425192680968 63.34427696495322
32 44.73316453056826 76.22904742769843
33 42.87068546457897 95.81424954514256
34 66.97947806136109 95.73991090859909
35 69.7677595521233 90.98534678152114
36 63.00235477735956 83.50346860096697
37 61.30168822577949 75.13290219574495
38 70.30776682681731 72.0012795057014
39 77.67754577249573 68.62416453664574
40 81.39685199429955 70.86451521631987
